CPD ID,Plate ID,Well
CPD_362351,APL001694,N05
CPD_244681,APL003270,B12
CPD_363969,APL001698,K11
CPD_361102,APL001690,L13
CPD_361964,APL001693,G10
CPD_362125,APL001693,J10
CPD_361650,APL001692,C12
CPD_247001,APL003278,I06
CPD_364096,APL001698,J03
CPD_246880,APL003277,N10
CPD_362444,APL001694,H10
CPD_362756,APL001695,H08
CPD_361011,APL001690,E12
CPD_243929,APL003268,B03
CPD_362438,APL001694,L08
CPD_361675,APL001692,E18
CPD_244894,APL003271,N03
CPD_360934,APL001690,K11
CPD_361972,APL001693,G12
CPD_361098,APL001690,D13
CPD_361266,APL001691,C15
CPD_361570,APL001692,C11
CPD_362666,APL001695,D05
CPD_246154,APL003275,G22
CPD_345872,APL001641,J05
CPD_362468,APL001694,H16
CPD_244570,APL003270,D03
CPD_361153,APL001690,B08
CPD_361649,APL001692,A12
CPD_361578,APL001692,C13
CPD_362764,APL001695,H10
CPD_246165,APL003275,N03
CPD_361117,APL001690,J17
CPD_361775,APL001692,N21
CPD_362346,APL001694,D05
CPD_362524,APL001695,G09
CPD_362532,APL001695,G11
CPD_243277,APL003266,E20
CPD_244760,APL003271,O09
CPD_361539,APL001692,E03
CPD_362266,APL001694,C06
CPD_362988,APL001696,H05
CPD_361626,APL001692,C06
CPD_361170,APL001690,D12
CPD_361538,APL001692,C03
CPD_361804,APL001692,H10
CPD_245839,APL003274,G22
CPD_361223,APL001691,M03
CPD_360917,APL001690,I07
CPD_360997,APL001690,I08
CPD_360912,APL001690,O05
CPD_361731,APL001692,F11
CPD_361596,APL001692,G17
CPD_362788,APL001695,H16
CPD_362663,APL001695,N03
CPD_361090,APL001690,D11
CPD_361841,APL001692,B20
CPD_243246,APL003266,G12
CPD_361003,APL001690,E10
CPD_243329,APL003266,N11
CPD_347618,APL001646,H21
CPD_244946,APL003271,H17
CPD_361045,APL001690,I20
CPD_362106,APL001693,D06
CPD_246039,APL003275,A13
CPD_355030,APL001669,B20
CPD_361137,APL001690,B04
CPD_361119,APL001690,N17
CPD_361284,APL001691,G19
CPD_361718,APL001692,L07
CPD_363076,APL001696,H08
CPD_245785,APL003274,I08
CPD_361473,APL001691,B08
CPD_362586,APL001695,C06
CPD_361143,APL001690,N04
CPD_361737,APL001692,B13
CPD_362581,APL001695,I04
CPD_244948,APL003271,L17
CPD_246107,APL003275,I10
CPD_247071,APL003278,F03
CPD_245050,APL003272,G03
CPD_364683,APL001700,C14
CPD_360947,APL001690,E15
CPD_361008,APL001690,O10
CPD_361962,APL001693,C10
CPD_363191,APL001697,M15
CPD_361674,APL001692,C18
CPD_362377,APL001694,B13
CPD_363999,APL001698,G19
CPD_364187,APL001698,L08
CPD_364524,APL001699,F14
CPD_246476,APL003276,N03
CPD_247097,APL003278,J09
CPD_361896,APL001693,O11
CPD_245949,APL003274,J10
CPD_361015,APL001690,M12
CPD_362981,APL001696,J03
CPD_361185,APL001690,B16
CPD_360906,APL001690,C05
CPD_246789,APL003277,F03
CPD_246671,APL003277,I13
CPD_361162,APL001690,D10
CPD_361506,APL001691,D16
CPD_362421,APL001694,J04
CPD_361723,APL001692,F09
CPD_361575,APL001692,M11
CPD_362770,APL001695,D12
CPD_244633,APL003270,B19
CPD_362548,APL001695,G15
CPD_361073,APL001690,B07
CPD_244736,APL003271,O03
CPD_361393,APL001691,B07
CPD_361708,APL001692,H05
CPD_243398,APL003266,H10
CPD_362603,APL001695,E10
CPD_362844,APL001696,G09
CPD_246855,APL003277,L04
CPD_361777,APL001692,B04
CPD_361642,APL001692,C10
CPD_363086,APL001696,L10
CPD_243711,APL003267,L08
CPD_364173,APL001698,H04
CPD_361268,APL001691,G15
CPD_244631,APL003270,N17
CPD_246848,APL003277,L17
CPD_247073,APL003278,J03
CPD_362337,APL001694,B03
CPD_244244,APL003269,G22
CPD_245409,APL003273,E13
CPD_362021,APL001693,J03
CPD_362362,APL001694,D09
CPD_362995,APL001696,F07
CPD_360978,APL001690,C04
CPD_361835,APL001692,F18
CPD_246316,APL003276,K03
CPD_362665,APL001695,B05
CPD_360943,APL001690,M13
CPD_361660,APL001692,G14
CPD_243446,APL003266,H22
CPD_362378,APL001694,D13
CPD_245166,APL003272,O12
CPD_245563,APL003273,L11
CPD_357759,APL001678,P05
CPD_361561,APL001692,A09
CPD_362419,APL001694,F04
CPD_364097,APL001698,L03
CPD_243145,APL003266,M05
CPD_360939,APL001690,E13
CPD_361667,APL001692,E16
CPD_361748,APL001692,H15
CPD_362433,APL001694,B08
CPD_362691,APL001695,F11
CPD_362996,APL001696,H07
CPD_361817,APL001692,B14
CPD_361700,APL001692,H03
CPD_361101,APL001690,J13
CPD_362423,APL001694,N04
CPD_364050,APL001698,M12
CPD_245250,APL003272,H13
CPD_246585,APL003276,J12
CPD_361572,APL001692,G11
CPD_362018,APL001693,D03
CPD_362425,APL001694,B06
CPD_243405,APL003266,F12
CPD_361261,APL001691,I13
CPD_361618,APL001692,C04
CPD_361954,APL001693,C08
CPD_362258,APL001694,C04
CPD_362724,APL001695,H19
CPD_363886,APL001697,D12
CPD_244452,APL003270,G13
CPD_244604,APL003270,H11
CPD_358546,APL001681,G03
CPD_360994,APL001690,C08
CPD_361798,APL001692,L08
CPD_362148,APL001693,H16
CPD_362867,APL001696,E15
CPD_246878,APL003277,J10
CPD_361089,APL001690,B11
CPD_362186,APL001694,C05
CPD_243302,APL003266,H05
CPD_364409,APL001699,P03
CPD_361498,APL001691,D14
CPD_362454,APL001694,L12
CPD_362745,APL001695,B06
CPD_244095,APL003269,M03
CPD_361146,APL001690,D06
CPD_361725,APL001692,J09
CPD_245051,APL003272,I03
CPD_246869,APL003277,H08
CPD_361348,APL001691,G16
CPD_364501,APL001699,H08
CPD_362441,APL001694,B10
CPD_362740,APL001695,H04
CPD_244851,APL003271,G14
CPD_362122,APL001693,D10
CPD_362189,APL001694,I05
CPD_362447,APL001694,N10
CPD_243820,APL003268,E15
CPD_361746,APL001692,D15
CPD_362140,APL001693,H14
CPD_361946,APL001693,C06
CPD_362619,APL001695,E14
CPD_362933,APL001696,I12
CPD_364517,APL001699,H12
CPD_244855,APL003271,O14
CPD_245995,APL003274,H22
CPD_361563,APL001692,E09
CPD_364677,APL001700,G12
CPD_361326,APL001691,K10
CPD_362420,APL001694,H04
CPD_243406,APL003266,H12
CPD_245863,APL003274,J07
CPD_363098,APL001696,D14
CPD_364181,APL001698,N06
CPD_244094,APL003269,K03
CPD_245101,APL003272,M15
CPD_361070,APL001690,L05
CPD_361443,APL001691,F19
CPD_362203,APL001694,E09
CPD_362501,APL001695,I03
CPD_362743,APL001695,N04
CPD_361053,APL001690,I22
CPD_362436,APL001694,H08
CPD_362180,APL001694,G03
CPD_245138,APL003272,G06
CPD_246354,APL003276,G13
CPD_361586,APL001692,C15
CPD_246877,APL003277,H10
CPD_361018,APL001690,C14
CPD_361124,APL001690,H19
CPD_362700,APL001695,H13
CPD_244044,APL003268,H12
CPD_246347,APL003276,I11
CPD_364705,APL001698,B12
CPD_244254,APL003269,L03
CPD_362212,APL001694,G11
CPD_244416,APL003270,O03
CPD_245942,APL003274,J08
CPD_361340,APL001691,G14
CPD_243539,APL003267,C06
CPD_246946,APL003278,K11
CPD_364238,APL001698,F22
CPD_360900,APL001690,G03
CPD_361132,APL001690,H21
CPD_361000,APL001690,O08
CPD_361598,APL001692,K17
CPD_363036,APL001696,H17
CPD_361834,APL001692,D18
CPD_361860,APL001693,G03
CPD_362820,APL001696,G03
CPD_360902,APL001690,K03
CPD_245950,APL003274,L10
CPD_246477,APL003276,P03
CPD_362883,APL001696,E19
CPD_361888,APL001693,O09
CPD_362672,APL001695,P05
CPD_363265,APL001697,A16
CPD_361633,APL001692,A08
CPD_361205,APL001690,J20
